parameter,EDF original,,12ŒŽ16“ú,12ŒŽ17“ú,,CMA Miyauti,
massx_nd,0.0467,,0.036735124,0.026964117,0.039585922,0.0326,1.214292084
massy_nd,0.2579,,0.276386541,0.191998573,0.126257782,0.18,0.701432124
IzzJzz_nd,0.0286,,0.028198138,0.034838124,0.032784335,0.0372,0.88129932
xuu_nd,-0.02139,,-0.02139,,,-0.02139,0
xvr_nd,0.4535,,-0.160195669,5.84589361,-0.114518786,-0.0769,1.48919097
yv_nd,-0.3728,,-0.568226244,-0.206550909,-0.036493454,-0.0274,1.331877888
nv_nd,0.116,,-0.233400727,-0.478074513,-0.136468529,0.18,-0.758158495
yr_nd,-0.1458,,-0.273144476,-0.7902272,0.150538369,-0.1028,-1.464381022
nr_nd,-0.04849,,-0.101897165,-0.176037573,-0.039773244,-0.02146,1.853366462
coeff_drag_sway,0.9665,,0.974072722,4.76386664,0.905407747,0.7738,1.170079797
cry_cross_flow,2.217,,2.178331632,-3.482942929,0.972344452,0.935,1.03994059
crn_cross_flow,0.8097,,0.913052164,1.327533339,0.68761248,0.8671,0.793002514
coeff_drag_aft,-0.03189,,-0.203222513,-0.581533629,-0.14738446,-0.10573,1.393970111
t_prop,0.22,,0.231977848,0.527827213,0.070835757,0.076,0.932049435
w_prop_zero,0.614,,1.139919092,0.763545383,0.791567101,0.836,0.9468506
tau_prop,0.871,,0.784386318,0.031938305,0.006829558,0.00616,1.108694511
coeff_cp_prop,-0.359,,-0.229446733,0.659716769,-0.012303387,-0.00762,1.614617761
xp_prop_nd,-0.517,,-0.426268363,0.279310175,-7.400142648,-4.09,1.809325831
kt_coeff0,0.3278,,0.3278,,,0.3278,0
kt_coeff1,-0.3323,,-0.3323,,,-0.3323,0
kt_coeff2,-0.156,,-0.156,,,-0.156,0
ai_coeff_prop0,-0.000079,,0.000344224,-0.005588438,0.000736442,0.000796,0.925178357
ai_coeff_prop1,0.00799,,0.049150097,0.121452722,0.009287487,0.00869,1.068755649
ai_coeff_prop2,-0.00493,,-0.006865449,1.146682763,-0.09367012,-0.0496,1.888510478
ai_coeff_prop3,-0.00587,,-0.004505093,1.283556041,-0.106986823,-0.059,1.813335987
ai_coeff_prop4,-0.000558,,-0.003693343,0.131837339,-0.003351283,-0.00192,1.745459868
ai_coeff_prop5,0.00508,,-0.001812194,4.500221681,0.039281147,0.0507,0.774776076
ai_coeff_prop6,0.0017,,-0.00079175,0.04697345,-0.022161723,-0.017,1.303630757
ai_coeff_prop7,0.000916,,0.004385053,0.093414477,0.000923132,0.000964,0.95760618
bi_coeff_prop0,0.000035,,0.000343862,0.005210895,-0.000253738,-0.000175,1.449929262
bi_coeff_prop1,-0.00317,,0.004132909,0.182980251,-0.002777321,-0.00202,1.374911268
bi_coeff_prop2,0.00196,,0.018478463,0.868932078,0.012119694,0.0153,0.792136889
bi_coeff_prop3,0.00233,,0.009629065,0.602377859,0.017169814,0.0196,0.876010902
bi_coeff_prop4,0.000225,,-0.000413151,0.007272304,0.000360971,0.000318,1.135129312
bi_coeff_prop5,-0.00216,,0.020339431,1.222778423,-0.034040522,-0.0217,1.568687657
bi_coeff_prop6,0.0000627,,0.000342142,0.038626841,0.00075657,0.000628,1.204729512
bi_coeff_prop7,0.0000625,,-0.00040769,-0.001766179,0.000328532,0.000345,0.952267608
ci_coeff_prop0,-0.251,,-0.15282291,5.381001635,0.920651804,0.998,0.922496798
ci_coeff_prop1,-0.175,,-0.152471565,5.675220521,-0.262793337,-0.18,1.459962983
ci_coeff_prop2,0.33,,0.31999409,3.746832714,0.549010753,0.43,1.276769194
ci_coeff_prop3,-0.233,,-0.307784233,4.738750452,-0.809728779,-0.518,1.563182972
t_rudder,0.19,,0.526259105,1.076948561,0.077721429,0.079,0.983815557
ah_rudder,0.393,,0.60406815,0.008268873,-0.135013891,-0.0711,1.898929544
xh_rudder_nd,-0.45,,-0.48593941,-0.271682532,-2.213634307,-1.48,1.495698856
kx_rudder,0.288,,-0.575519312,-0.564660498,0.511102074,0.566,0.903007198
epsilon_rudder,1.42,,1.383113939,3.475699656,5.164765875,6.54,0.789719553
lr_rudder_nd,-1.08,,-1.200878022,3.588802722,12.41348604,10.847,1.144416525
gammaN_rudder,0.4406,,0.471494241,0.497760567,-0.21257409,-0.1438,1.478262101
gammaP_rudder,0.3506,,0.14792025,-0.397110914,-0.082763928,-0.05163,1.603020106
kx_rudder_reverse,0.144,,0.029897385,0.874100654,0.0801733,0.0954,0.840390987
cpr_rudder,-0.176,,-0.163705389,-1.386634556,-0.517082744,-0.358,1.444365206
XX0,0.4406,,0.050393072,0.142912953,-0.003608485,-0.0025208,1.431484194
XX1,0.3506,,-0.782553994,-9.902221109,-1.751593666,-1.21442,1.442329397
XX3,0.060273613,,-0.200890739,-0.568182532,-0.25469214,-0.1437543,1.771718408
XX5,0.044558221,,0.248797199,0.356915227,-0.148092455,-0.1037918,1.426822301
YY1,1.058172083,,1.094429305,0.964385013,0.567619668,0.6920638,0.820184018
YY3,0.002321463,,-0.00037668,1.262105436,-0.03964717,-0.023391,1.694975397
YY5,-0.015293452,,0.038663508,0.224668449,-0.127627752,-0.0954,1.337817108
NN1,-0.030727798,,0.085149692,0.234565817,-0.011001137,-0.0072221,1.523260081
NN2,0.10411637,,0.093836724,1.243606971,0.059244784,0.0655171,0.904264445
NN3,-0.00088,,0.006446508,-0.038770828,-0.008792796,-0.0059071,1.488513192
,,,,,-0.160604278,,
,,,,,-0.010513302,,
,,,,,0.053804792,,
,,,,,-0.011123997,,
