parameter,value,lowerlim,upperlim,,lpp,3
massx_nd,0.0326,0.02282,0.04238,,d,0.20114
massy_nd,0.18,0.126,0.234,,g,9.80665
IzzJzz_nd,0.0372,0.02604,0.04836,,rho,101.9716213
xuu_nd,-0.02139,-0.014973,-0.027807,,92.29757359,
xvr_nd,-0.0769,-0.05383,-0.09997,,,
yv_nd,-0.0274,-0.01918,-0.03562,,,
nv_nd,0.18,0.126,0.234,,,
yr_nd,-0.1028,-0.07196,-0.13364,,,
nr_nd,-0.02146,-0.015022,-0.027898,,,
coeff_drag_sway,0.7738,0.54166,1.00594,,,
cry_cross_flow,0.935,0.6545,1.2155,,,
crn_cross_flow,0.8671,0.60697,1.12723,,,
coeff_drag_aft,-0.10573,-0.074011,-0.137449,,,
t_prop,0.076,0.0532,0.0988,,,
w_prop_zero,0.836,0.5852,1.0868,,,
tau_prop,0.00616,0.004312,0.008008,,,
coeff_cp_prop,-0.00762,-0.005334,-0.009906,,,
xp_prop_nd,-4.09,-2.863,-5.317,,,
kt_coeff0,0.3278,0.22946,0.42614,,,
kt_coeff1,-0.3323,-0.23261,-0.43199,,,
kt_coeff2,-0.156,-0.1092,-0.2028,,,
ai_coeff_prop0,0.000796,0.0005572,0.0010348,,,
ai_coeff_prop1,0.00869,0.006083,0.011297,,,
ai_coeff_prop2,-0.0496,-0.03472,-0.06448,,,
ai_coeff_prop3,-0.059,-0.0413,-0.0767,,,
ai_coeff_prop4,-0.00192,-0.001344,-0.002496,,,
ai_coeff_prop5,0.0507,0.03549,0.06591,,,
ai_coeff_prop6,-0.017,-0.0119,-0.0221,,,
ai_coeff_prop7,0.000964,0.0006748,0.0012532,,,
bi_coeff_prop0,-0.000175,-0.0001225,-0.0002275,,,
bi_coeff_prop1,-0.00202,-0.001414,-0.002626,,,
bi_coeff_prop2,0.0153,0.01071,0.01989,,,
bi_coeff_prop3,0.0196,0.01372,0.02548,,,
bi_coeff_prop4,0.000318,0.0002226,0.0004134,,,
bi_coeff_prop5,-0.0217,-0.01519,-0.02821,,,
bi_coeff_prop6,0.000628,0.0004396,0.0008164,,,
bi_coeff_prop7,0.000345,0.0002415,0.0004485,,,
ci_coeff_prop0,0.998,0.6986,1.2974,,,
ci_coeff_prop1,-0.18,-0.126,-0.234,,,
ci_coeff_prop2,0.43,0.301,0.559,,,
ci_coeff_prop3,-0.518,-0.3626,-0.6734,,,
t_rudder,0.079,0.0553,0.1027,,,
ah_rudder,-0.0711,-0.04977,-0.09243,,,
xh_rudder_nd,-1.48,-1.036,-1.924,,,
kx_rudder,0.566,0.3962,0.7358,,,
epsilon_rudder,6.54,4.578,8.502,,,
lr_rudder_nd,10.847,7.5929,14.1011,,,
gammaN_rudder,-0.1438,-0.10066,-0.18694,,,
gammaP_rudder,-0.05163,-0.036141,-0.067119,,,
kx_rudder_reverse,0.0954,0.06678,0.12402,,,
cpr_rudder,-0.358,-0.2506,-0.4654,,,
XX0,-0.0025208,-0.00176456,-0.00327704,,,
XX1,-1.21442,-0.850094,-1.578746,,,
XX3,-0.1437543,-0.10062801,-0.18688059,,,
XX5,-0.1037918,-0.07265426,-0.13492934,,,
YY1,0.6920638,0.48444466,0.89968294,,,
YY3,-0.023391,-0.0163737,-0.0304083,,,
YY5,-0.0954,-0.06678,-0.12402,,,
NN1,-0.0072221,-0.00505547,-0.00938873,,,
NN2,0.0655171,0.04586197,0.08517223,,,
NN3,-0.0059071,-0.00413497,-0.00767923,,,
