parameter,mean,var
massx_nd,0.0326,100
massy_nd,0.18,100
IzzJzz_nd,0.0372,100
xuu_nd,-0.02139,100
xvr_nd,-0.0769,100
yv_nd,-0.0274,100
nv_nd,0.18,100
yr_nd,-0.1028,100
nr_nd,-0.02146,100
coeff_drag_sway,0.7738,100
cry_cross_flow,0.935,100
crn_cross_flow,0.8671,100
coeff_drag_aft,-0.10573,100
t_prop,0.076,100
w_prop_zero,0.836,100
tau_prop,0.00616,100
coeff_cp_prop,-0.00762,100
xp_prop_nd,-4.09,100
kt_coeff0,0.3278,100
kt_coeff1,-0.3323,100
kt_coeff2,-0.156,100
ai_coeff_prop0,0.000796,100
ai_coeff_prop1,0.00869,100
ai_coeff_prop2,-0.0496,100
ai_coeff_prop3,-0.059,100
ai_coeff_prop4,-0.00192,100
ai_coeff_prop5,0.0507,100
ai_coeff_prop6,-0.017,100
ai_coeff_prop7,0.000964,100
bi_coeff_prop0,-0.000175,100
bi_coeff_prop1,-0.00202,100
bi_coeff_prop2,0.0153,100
bi_coeff_prop3,0.0196,100
bi_coeff_prop4,0.000318,100
bi_coeff_prop5,-0.0217,100
bi_coeff_prop6,0.000628,100
bi_coeff_prop7,0.000345,100
ci_coeff_prop0,0.998,100
ci_coeff_prop1,-0.18,100
ci_coeff_prop2,0.43,100
ci_coeff_prop3,-0.518,100
t_rudder,0.079,100
ah_rudder,-0.0711,100
xh_rudder_nd,-1.48,100
kx_rudder,0.566,100
epsilon_rudder,6.54,100
lr_rudder_nd,10.847,100
gammaN_rudder,-0.1438,100
gammaP_rudder,-0.05163,100
kx_rudder_reverse,0.0954,100
cpr_rudder,-0.358,100
XX0,-0.0025208,100
XX1,-1.21442,100
XX3,-0.1437543,100
XX5,-0.1037918,100
YY1,0.6920638,100
YY3,-0.023391,100
YY5,-0.0954,100
NN1,-0.0072221,100
NN2,0.0655171,100
NN3,-0.0059071,100
