parameter,value,lowerlim,upperlim,,lpp,3
massx_nd,0.0467,0.03269,0.06071,,d,0.20114
massy_nd,0.2579,0.18053,0.33527,,g,9.80665
IzzJzz_nd,0.0286,0.02002,0.03718,,rho,101.9716213
xuu_nd,-0.02139,-0.02139,-0.02139,,92.29757359,
xvr_nd,0.4535,-2.2675,2.2675,,,
yv_nd,-0.3728,-1.864,-0.03728,,,
nv_nd,0.116,-0.58,0.58,,,
yr_nd,-0.1458,-0.729,0.729,,,
nr_nd,-0.04849,-0.24245,-0.004849,,,
coeff_drag_sway,0.9665,-4.8325,4.8325,,,
cry_cross_flow,2.217,-11.085,11.085,,,
crn_cross_flow,0.8097,-4.0485,4.0485,,,
coeff_drag_aft,-0.03189,-0.15945,0.15945,,,
t_prop,0.22,0.022,1.1,,,
w_prop_zero,0.614,-3.07,3.07,,,
tau_prop,0.871,-4.355,4.355,,,
coeff_cp_prop,-0.359,-1.795,1.795,,,
xp_prop_nd,-0.517,-2.585,2.585,,,
kt_coeff0,0.3278,0.3278,0.3278,,,
kt_coeff1,-0.3323,-0.3323,-0.3323,,,
kt_coeff2,-0.156,-0.156,-0.156,,,
ai_coeff_prop0,-0.000079,-0.000395,0.000395,,,
ai_coeff_prop1,0.00799,-0.03995,0.03995,,,
ai_coeff_prop2,-0.00493,-0.02465,0.02465,,,
ai_coeff_prop3,-0.00587,-0.02935,0.02935,,,
ai_coeff_prop4,-0.000558,-0.00279,0.00279,,,
ai_coeff_prop5,0.00508,-0.0254,0.0254,,,
ai_coeff_prop6,0.0017,-0.00851,0.00851,,,
ai_coeff_prop7,0.000916,-0.00458,0.00458,,,
bi_coeff_prop0,0.000035,-0.000175,0.000175,,,
bi_coeff_prop1,-0.00317,-0.01585,0.01585,,,
bi_coeff_prop2,0.00196,-0.0098,0.0098,,,
bi_coeff_prop3,0.00233,-0.01165,0.01165,,,
bi_coeff_prop4,0.000225,-0.001125,0.001125,,,
bi_coeff_prop5,-0.00216,-0.0108,0.0108,,,
bi_coeff_prop6,0.0000627,-0.0003135,0.0003135,,,
bi_coeff_prop7,0.0000625,-0.0003125,0.0003125,,,
ci_coeff_prop0,-0.251,-1.255,1.255,,,
ci_coeff_prop1,-0.175,-0.875,0.875,,,
ci_coeff_prop2,0.33,-1.65,1.65,,,
ci_coeff_prop3,-0.233,-1.165,1.165,,,
t_rudder,0.19,-0.95,0.95,,,
ah_rudder,0.393,-1.965,1.965,,,
xh_rudder_nd,-0.45,-2.25,2.25,,,
kx_rudder,0.288,-1.44,1.44,,,
epsilon_rudder,1.42,-7.1,7.1,,,
lr_rudder_nd,-1.08,-5.4,5.4,,,
gammaN_rudder,0.4406,-2.203,2.203,,,
gammaP_rudder,0.3506,-1.753,1.753,,,
kx_rudder_reverse,0.144,-0.72,0.72,,,
cpr_rudder,-0.176,-0.88,0.88,,,
XX0,0.4406,-0.052331025,0.052331025,,,
XX1,0.3506,-4.10995978,4.10995978,,,
XX3,0.060273613,-0.301368065,0.301368065,,,
XX5,0.044558221,-0.222791105,0.222791105,,,
YY1,1.058172083,-5.290860415,5.290860415,,,
YY3,0.002321463,-0.011607315,0.011607315,,,
YY5,-0.015293452,-0.07646726,0.07646726,,,
NN1,-0.030727798,-0.15363899,0.15363899,,,
NN2,0.10411637,-0.52058185,0.52058185,,,
NN3,-8.80E-04,-0.004401505,0.004401505,,,
